Region,DX,median,min,max,missing
ABETA,CN,1267.0,200.0,1700.0,783
ABETA,MCI,833.1,213.1,1700.0,1230
ABETA,AD,570.85,212.3,1700.0,1669
AGE,CN,76.3,56.2,93.6,0
AGE,MCI,74.8,55.0,94.9,0
AGE,AD,77.1,55.1,96.0,0
APOE4,CN,0.0,0.0,2.0,0
APOE4,MCI,0.0,0.0,2.0,0
APOE4,AD,1.0,0.0,2.0,12
AV45,CN,1.0488,0.8509,1.8118,841
AV45,MCI,1.1167,0.8358,1.995,1354
AV45,AD,1.3913,0.8146,2.1071,1797
CDRSB,CN,0.0,0.0,2.0,10
CDRSB,MCI,1.5,0.0,7.0,13
CDRSB,AD,5.0,0.0,18.0,23
DIGITSCOR,CN,48.0,18.0,83.0,741
DIGITSCOR,MCI,38.0,0.0,78.0,1229
DIGITSCOR,AD,27.0,0.0,64.0,1117
Entorhinal/ICV,CN,0.0025,0.0011,0.0039,379
Entorhinal/ICV,MCI,0.0023,0.0009,0.0038,591
Entorhinal/ICV,AD,0.0017,0.0006,0.0036,995
FAQ,CN,0.0,0.0,13.0,6
FAQ,MCI,2.0,0.0,24.0,15
FAQ,AD,16.0,0.0,30.0,13
FDG,CN,1.2962,1.0,1.6656,717
FDG,MCI,1.2345,0.7467,1.6618,1040
FDG,AD,1.0555,0.6367,1.5793,1399
Fusiform/ICV,CN,0.0116,0.0075,0.0171,379
Fusiform/ICV,MCI,0.0113,0.0066,0.0171,591
Fusiform/ICV,AD,0.0097,0.0053,0.0152,995
Hippocampus/ICV,CN,0.0048,0.0029,0.0069,349
Hippocampus/ICV,MCI,0.0044,0.0023,0.0068,533
Hippocampus/ICV,AD,0.0035,0.0013,0.0067,879
LDELTOTAL,CN,14.0,2.0,25.0,2
LDELTOTAL,MCI,7.0,0.0,25.0,143
LDELTOTAL,AD,0.0,0.0,18.0,526
MMSE,CN,29.0,23.0,30.0,1
MMSE,MCI,28.0,13.0,30.0,6
MMSE,AD,22.0,0.0,30.0,22
MOCA,CN,26.0,18.0,30.0,641
MOCA,MCI,24.0,9.0,30.0,814
MOCA,AD,17.0,0.0,29.0,1223
MidTemp/ICV,CN,0.0131,0.0094,0.019,379
MidTemp/ICV,MCI,0.0127,0.0067,0.019,591
MidTemp/ICV,AD,0.0107,0.0057,0.0169,995
PTAU,CN,20.75,8.0,71.83,783
PTAU,MCI,24.18,8.21,92.08,1230
PTAU,AD,33.115,8.0,103.7,1669
PTEDUCAT,CN,16.0,6.0,20.0,0
PTEDUCAT,MCI,16.0,6.0,20.0,0
PTEDUCAT,AD,16.0,4.0,20.0,0
RAVLT_forgetting,CN,3.0,-8.0,15.0,3
RAVLT_forgetting,MCI,5.0,-7.0,15.0,12
RAVLT_forgetting,AD,4.0,-2.0,11.0,122
RAVLT_immediate,CN,45.0,8.0,75.0,3
RAVLT_immediate,MCI,33.0,6.0,75.0,11
RAVLT_immediate,AD,21.0,0.0,58.0,106
RAVLT_learning,CN,6.0,-5.0,14.0,3
RAVLT_learning,MCI,4.0,-5.0,14.0,11
RAVLT_learning,AD,2.0,-5.0,10.0,106
RAVLT_perc_forgetting,CN,27.922,-100.0,100.0,5
RAVLT_perc_forgetting,MCI,62.5,-100.0,100.0,17
RAVLT_perc_forgetting,AD,100.0,-66.6667,100.0,181
TAU,CN,231.65,80.0,631.8,783
TAU,MCI,259.5,97.89,816.9,1230
TAU,AD,335.4,80.0,915.8,1669
TRABSCOR,CN,71.0,26.0,300.0,7
TRABSCOR,MCI,92.0,0.0,334.0,21
TRABSCOR,AD,193.0,0.0,306.0,361
Ventricles/ICV,CN,0.0214,0.0046,0.077,272
Ventricles/ICV,MCI,0.0238,0.0045,0.0832,371
Ventricles/ICV,AD,0.0318,0.0072,0.088,680
WholeBrain/ICV,CN,0.6732,0.5299,0.826,248
WholeBrain/ICV,MCI,0.6637,0.4851,0.8537,320
WholeBrain/ICV,AD,0.6199,0.4742,0.776,617
